Name,Image URL,Description
Appenzeller Alpenbitter,https://example.com/appenzeller_alpenbitter.jpg,"Appenzeller Alpenbitter ist ein Schweizer Kräuterlikör, hergestellt von der Appenzeller Alpenbitter AG."
Ovomaltine,https://example.com/ovomaltine.jpg,"Ovomaltine ist ein Malzgetränk, hergestellt von Wander AG."
Ricola Kräutertee,https://example.com/ricola_kraeutertee.jpg,"Ricola Kräutertee ist ein Teegetränk, hergestellt von Ricola AG."
Evian Mineralwasser,https://example.com/evian_mineralwasser.jpg,"Evian Mineralwasser ist ein französisches Mineralwasser, abgefüllt von Evian."
Valser Wasser,https://example.com/valser_wasser.jpg,"Valser Wasser ist ein Schweizer Mineralwasser, abgefüllt von Valser."
Henniez,https://example.com/henniez.jpg,"Henniez ist ein Schweizer Mineralwasser, abgefüllt von Henniez."
Migros Ice Tea,https://example.com/migros_ice_tea.jpg,"Migros Ice Tea ist ein Eisteegetränk, erhältlich bei Migros."
Nestea,https://example.com/nestea.jpg,"Nestea ist ein Eisteegetränk, hergestellt von Nestlé."
Lipton Ice Tea,https://example.com/lipton_ice_tea.jpg,"Lipton Ice Tea ist ein Eisteegetränk, hergestellt von Lipton."
Coci,https://example.com/coci.jpg,"Coci ist ein kohlensäurehaltiges Erfrischungsgetränk, hergestellt von Coca-Cola."
Rivella Blau,https://example.com/rivella_blau.jpg,Rivella Blau ist eine leichtere Variante des Schweizer Rivella-Getränks.
Orangina,https://example.com/orangina.jpg,"Orangina ist ein kohlensäurehaltiges Orangengetränk, hergestellt von Suntory."
Sinalco,https://example.com/sinalco.jpg,"Sinalco ist ein kohlensäurehaltiges Erfrischungsgetränk, hergestellt von Sinalco."
San Pellegrino,https://example.com/san_pellegrino.jpg,"San Pellegrino ist ein italienisches Mineralwasser, abgefüllt von San Pellegrino."
Volvic,https://example.com/volvic.jpg,"Volvic ist ein französisches Mineralwasser, abgefüllt von Volvic."
Vittel,https://example.com/vittel.jpg,"Vittel ist ein französisches Mineralwasser, abgefüllt von Vittel."
Capri-Sun,https://example.com/capri_sun.jpg,Capri-Sun ist ein Fruchtsaftgetränk.
Mezzo Mix,https://example.com/mezzo_mix.jpg,"Mezzo Mix ist eine Mischung aus Cola und Orangenlimonade, hergestellt von Coca-Cola."
Club Mate,https://example.com/club_mate.jpg,"Club Mate ist ein koffeinhaltiges Erfrischungsgetränk, hergestellt von Loscher."
Almdudler,https://example.com/almdudler.jpg,Almdudler ist ein österreichisches Kräuterlimonadegetränk.
Züri Wasser,https://example.com/zueri_wasser.jpg,Züri Wasser ist ein regionales Mineralwasser aus Zürich.
Goba Cola,https://example.com/goba_cola.jpg,Goba Cola ist ein Schweizer Cola-Getränk.
Swiss Mountain Spring Ginger Beer,https://example.com/swiss_mountain_spring_ginger_beer.jpg,Swiss Mountain Spring Ginger Beer ist ein alkoholfreies Ingwerbier.
Bischofszell Apfelwein,https://example.com/bischofszell_apfelwein.jpg,Bischofszell Apfelwein ist ein Schweizer Apfelwein.
Rugenbräu,https://example.com/rugenbraeu.jpg,"Rugenbräu ist ein Bier, hergestellt von der Rugenbräu AG."
Calanda Bier,https://example.com/calanda_bier.jpg,"Calanda Bier ist ein Schweizer Bier, hergestellt von Calanda."
Chopfab Bier,https://example.com/chopfab_bier.jpg,Chopfab Bier ist ein Schweizer Craft-Bier.
Bündner Bier,https://example.com/buendner_bier.jpg,Bündner Bier ist ein regionales Bier aus Graubünden.
Quöllfrisch,https://example.com/quoellfrisch.jpg,"Quöllfrisch ist ein Bier, hergestellt von der Brauerei Locher."
Möhl Saft,https://example.com/moehl_saft.jpg,Möhl Saft ist ein Schweizer Fruchtsaft.
Michel Fruchtsaft,https://example.com/michel_fruchtsaft.jpg,"Michel Fruchtsaft ist ein Schweizer Fruchtsaft, hergestellt von Michel."
Gents Swiss Roots Tonic,https://example.com/gents_swiss_roots_tonic.jpg,"Gents Swiss Roots Tonic ist ein Tonic Water, hergestellt in der Schweiz."
Passaia,https://example.com/passaia.jpg,Passaia ist ein Passionsfruchtgetränk.
7 Up,https://example.com/7_up.jpg,7 Up ist ein kohlensäurehaltiges Zitronenlimonadegetränk.
Aquarius,https://example.com/aquarius.jpg,Aquarius ist ein isotonisches Sportgetränk.
Vitamin Well,https://example.com/vitamin_well.jpg,Vitamin Well ist ein vitaminhaltiges Erfrischungsgetränk.
Rockstar Energy,https://example.com/rockstar_energy.jpg,"Rockstar Energy ist ein Energydrink, hergestellt von Rockstar."
Monster Energy,https://example.com/monster_energy.jpg,"Monster Energy ist ein Energydrink, hergestellt von Monster Beverage."
Powerade,https://example.com/powerade.jpg,"Powerade ist ein Sportgetränk, hergestellt von Coca-Cola."
Biotta Gemüsesaft,https://example.com/biotta_gemuesesaft.jpg,"Biotta Gemüsesaft ist ein biologischer Gemüsesaft, hergestellt von Biotta."
Emmi Caffè Latte,https://example.com/emmi_caffe_latte.jpg,"Emmi Caffè Latte ist ein Kaffeegetränk, hergestellt von Emmi."
Hero Multivitaminsaft,https://example.com/hero_multivitaminsaft.jpg,"Hero Multivitaminsaft ist ein Multivitaminsaft, hergestellt von Hero."
Diva Cola,https://example.com/diva_cola.jpg,Diva Cola ist ein Schweizer Cola-Getränk.
Peach Ice Tea,https://example.com/peach_ice_tea.jpg,Peach Ice Tea ist ein Pfirsich-Eistee.
Hohes C,https://example.com/hohes_c.jpg,"Hohes C ist ein Fruchtsaftgetränk, reich an Vitamin C."
Viva Cola,https://example.com/viva_cola.jpg,Viva Cola ist ein Schweizer Cola-Getränk.
Rugenbräu Cola,https://example.com/rugenbraeu_cola.jpg,"Rugenbräu Cola ist ein Cola-Getränk, hergestellt von der Rugenbräu AG."
Flauder,https://example.com/flauder.jpg,"Flauder ist ein aromatisiertes Mineralwasser, hergestellt von Goba."
Rauch Apfelkorn,https://example.com/rauch_apfelkorn.jpg,"Rauch Apfelkorn ist ein Apfelsaftgetränk, hergestellt von Rauch."
Coop Cola,https://example.com/coop_cola.jpg,"Coop Cola ist ein Cola-Getränk, erhältlich bei Coop."
Farmer Ice Tea,https://example.com/farmer_ice_tea.jpg,"Farmer Ice Tea ist ein Eisteegetränk, erhältlich bei Coop."
